Name,Type,SKU,Published,Visibility in catalog,Short description,Description,Regular price,Sale price,In stock?,Stock,Categories,Tags,Images
"БИЛКОВ ЧАЙ ""7 ЧАКРИ"" /АЮРВЕДА/",simple,Код на продукта: КОД 22/857,1,visible,,"Тази смес е хармонично
съставена по стари индийски рецепти. Интензивният, пикантен, цветен аромат и
вкус позволяват на всички съставки да се разкрият напълно. Особено леко
пикантният вкус на Мате е идеално допълнен от свежата нотка на лимонена трева.
Тази смес може да се пие както студена, така и топла и със сигурност прави
всеки период на гладуване по-лесен за понасяне.Състав: зелено
Мате, лимонена трева, шипка, джинджър, кардамон, черен пипер, босилек,
венчелистчета роза, римска лайка./ без добавени
аромати /Опаковка: насипен
чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ""7 ЧАКРИ"" /АЮРВЕДА/",,https://teashop.bg/image/cache/catalog/22857-600x600.gif
БИЛКОВ ЧАЙ ЛЯТНО ЦВЕТЕ (без добавени аромати),simple,Код на продукта: КОД 21/596,1,visible,,"Лято без цветя е
като зима без сняг, помисли си една малка фея и създаде този прекрасен билков
чай. Малко мента за свежест, шепа джинджифил за подправка, захаросани кубчета
джинджифил и сладък корен за сладост - за всеки тип има по нещо. И цветна гама
от сияйни цветове, които да радват окото.Състав:
джинджифил на кубчета, ябълка на кубчета, шипка кора, корен от сладък корен,
листа маточина, мента, цвят от пирен, цвят от слез, метличина, алпийски
еделвайс, розови листенца. Опаковка- насипен
чай",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ЛЯТНО ЦВЕТЕ (без добавени аромати)",,https://teashop.bg/image/cache/catalog/21596-600x600.jpg
БИЛКОВ ЧАЙ -МУРСАЛСКИ ЧАЙ С ЦИТРУСИ,simple,Код на продукта: КОД 21/464,1,visible,,"Тучни зелени
алпийски ливади, покрити с жълти и виолетови цветове... това е, което ви идва
на ум, когато погледнете тази цветна комбинация. Тръпчиво- сладък грейпфрут и
цитрусови нотки се комбинират, за да създадат остро, свежо удоволствие. Сладки
листа от къпина и изобилие от джинджифил подобряват вкуса.Състав: ябълка,
върбинка, джинджифил, листа къпина, листа от малина, мурсалски чай (5%),
цветчета от слез и слънчоглед.Опаковка- насипен
чай",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ -МУРСАЛСКИ ЧАЙ С ЦИТРУСИ",,https://teashop.bg/image/cache/catalog/21464-600x600.png
"БИЛКОВ ЧАЙ ""МАГИЧЕН АРОМАТ"" (без добавени аромати)",simple,Код на продукта: КОД  11/111,1,visible,,"Нашата ароматична
смес е не само красива за гледане с ефирните розови листа и мурсалски чай, но
също така носи охлаждащи и освежаващи нотки на мента и градински чай. Лайката
допълва идеално това визуално и ароматично изживяване.
Състав: мурсалски чай , градински чай, мента, лайка, розови листенца.

Опаковка- насипен
чай",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ""МАГИЧЕН АРОМАТ"" (без добавени аромати)",,https://teashop.bg/image/cache/catalog/11111-600x600.jpg
ЧЕРЕН ЧАЙ ПАНЕТОНЕ,simple,Код на продукта: КОД 21/690,1,visible,,"Панетоне е популярен италиански деликатес, който
се яде по Коледа. Вдъхновени от този десерт, разработихме чудесно творение чай с мека основа от черен чай, подсилена със стафиди и различни захаросани
плодове. Тази уникална чаена смес е завършена със сочни портокали, пикантни
нюанси на канела и сладки нотки, превръщайки всяка глътка във вкусно
изживяване. Това творение е идеалният избор за ценители, които искат да опитат
нещо ново и специално.Състав: черен чай, стафиди, ананас, кубчета
папая, портокалова кора, кубчета помело, резенчета портокал, листа от
къпина",,,0,,ЧЕРЕН ЧАЙ ПАНЕТОНЕ,,https://teashop.bg/image/cache/catalog/21690-600x600.jpg
ЗЕЛЕН ЧАЙ УЛОНГ SPICE NOTE,simple,Код на продукта: КОД 21/691,1,visible,,"Насладете се на сладката и уникална смес от чай улонг, съчетан със зимни подправки. Топлият аромат на канела и джинджифил изпълва сетивата ви и ви дава усещане за уют. Трябва да опитате този чай.Състав: полу-ферментирал чай Ti Kuan Yin, ананас, джинждифил, кардамом, куркума, канела

Опаковака: насипен
чай",,,0,,ЗЕЛЕН ЧАЙ УЛОНГ SPICE NOTE,,https://teashop.bg/image/cache/catalog/21691-600x600.jpg
КАФЕ СИНЯ СЛИВА И КАНЕЛА 100 % АРАБИКА,simple,Код на продукта: КОД 14/924,1,visible,,"Най-добрите планински
кафета от слънчева Южна Америка се комбинират в 
рецептата за торта със сливи на Granny за „студения сезон“. Резултатът:
удоволствие по всяко време на годината! Погалете сетивата си с
изкушаващия аромат на зрели сливи и пикантна канела. Аромат, който ще ви
напомни за сладкиша със сливи на баба ви. Наслаждавайте му се целогодишно, но
Комбинацията слива и  канела е вкусно
изживяване, особено в студените есенни и зимни дни.Съставки: Печено кафе
(100% Арабика), аромати.Опаковка: насипно кафе.*Ако желаете Вашето кафе
смляно, моля свържете се с нас!",,,0,,КАФЕ СИНЯ СЛИВА И КАНЕЛА 100 % АРАБИКА,,"https://teashop.bg/image/cache/catalog/14922--600x600.jpg, https://teashop.bg/image/cache/catalog/14924-600x600.jpg"
ЧЕРЕН ЧАЙ КАНЕЛА,simple,Код на продукта: КОД 22/413,1,visible,,"Класика от старо
време, която трябва да бъде част от всеки коледен асортимент. Смес от силен
черен чай ( Китай и Цейлон) , обогатена с цейлонска и мадагаскарска канела –
просто перфектно.


Опаковка: насипен чай.",,,0,,ЧЕРЕН ЧАЙ КАНЕЛА,,https://teashop.bg/image/cache/catalog/22413-600x600.jpg
ЗЕЛЕН ЧАЙ ПОРТОКАЛОВА БИСКВИТКА,simple,Код на продукта: КОД 22/035,1,visible,,"Това творение
въодушевява с вкуса си. Деликатни кремообразни вкусове на торта, съчетани със
свеж портокал и топли, зимни подправки като канела, кардамон
и кориандър ще ви накарат да копнеете за още...!

Състав: зелен чай
, парченца ябълка, парченца канела, кориандър, аромат, резени портокал,
кардамон, розов и черен пипер, карамфил.

Опаковка: насипен
чай",,,0,,ЗЕЛЕН ЧАЙ ПОРТОКАЛОВА БИСКВИТКА,,https://teashop.bg/image/cache/catalog/22035-600x600.jpg
КАФЕ РОМ И ШОКОЛАД 100 % АРАБИКА,simple,Код на продукта: КОД 13/644,1,visible,,"За тази класика е
подбрано зелено кафе от Колумбия и Бразилия. След зимна разходка на чист,
хладен въздух, едва ли има нещо, което ще ви сгрее по-добре от комбинацията от
шоколад и ром. Тази смес се състои предимно от фино, кремообразно какао и
допълва  с ром и сметана. Класиката
намира друг аспект на вкуса, обогатена от нотките на кафе - просто неотразимо!Състав: Печено кафе
(100% Арабика), аромати.Опаковка: насипно кафе.*Ако желаете Вашето кафе
смляно, моля свържете се с нас!",,,0,,КАФЕ РОМ И ШОКОЛАД 100 % АРАБИКА,,"https://teashop.bg/image/cache/catalog/13642--600x600.jpg, https://teashop.bg/image/cache/catalog/13644--600x600.jpg"
РОЙБОС ПЕЧЕНА ЯБЪЛКА,simple,Код на продукта: КОД 21/636,1,visible,,"„Деца, елате да познаете какво се пече във фурната!“ ...Печените ябълки са олицетворение на коледния сезон и ни вдъхновиха да създадем смес от чай ройбос на базата на този коледен деликатес за „пораснали“ деца. Наситеният вкус на ароматни подправки е идеално закръглен от лека нотка на
яйчен ликьор. Така че деца, побързайте, донесете чаша, донесете чиния!Състав: чай Ройбос, парчета ябълка, канела, листа боровинка, карамфил, звезден анасон2gr/0,3lá100°C  ¹5-10 minОпаковака: насипен чай",,,0,,РОЙБОС ПЕЧЕНА ЯБЪЛКА,,https://teashop.bg/image/cache/catalog/21636-600x600.jpg
КАФЕ ОРЕХОВ КРЕМ 100 % АРАБИКА,simple,Код на продукта: КОД 12/944,1,visible,,"За ароматизираните кафета използваме внимателно подбрани, 100% зърна арабика от ферми в Южна и Централна Америка.  По този начин гарантираме оптимален вкус и
качество и за да е сигурно, че
зърната запазват финия си характер, те се пакат внимателно и нежно.Характер
и вкус



Насладете
се на богатите и кремообразни вкусове на най-новия ни бленд кафе, вдъхновен от
кадифената мекота на орехите и сладкото богатство на сметаната. Нашето орехово
сметаново кафе е майсторска комбинация от нежно изпечени зърна арабика, пропити
с фините нотки на орехи и сладостта на карамелизирана ванилия. Състав: Печено кафе
(100% арабика), овкусител.",,,0,,КАФЕ ОРЕХОВ КРЕМ 100 % АРАБИКА,,"https://teashop.bg/image/cache/catalog/12944_1-600x600.jpg, https://teashop.bg/image/cache/catalog/12944-600x600.jpg"
ЗЕЛЕН ЧАЙ КАРДАМОМ И КАНЕЛА - Spice tea,simple,Код на продукта: КОД 22/395,1,visible,,"Това е наистина
деликатен и елегантен сорт Чай. Благодарение на основата от зелен чай, тази
смес е по -свежа и по -малко интензивна от черния чай. Пикантният аромат на
карамфил и свежестта на свежа мента са най -важните компоненти в тази
композиция Chai. Студен, този чай  е също толкова вкусен.Състав: Зелен чай
(32%), кардамом, джинджър, черен пипер, канела, мента, карамфил.Опаковка: насипен
чай.",,,0,,ЗЕЛЕН ЧАЙ КАРДАМОМ И КАНЕЛА - Spice tea,,https://teashop.bg/image/cache/catalog/22395-600x600.gif
КАФЕ КОЛЕДНА БИСКВИТКА 100% АРАБИКА,simple,Код на продукта: КОД 13/722,1,visible,,"Произход и плантацияСамо внимателно
подбрани, узрели на слънце зърна арабика от Централна и Южна Америка формират
основата за най-новото ни кафе.Характер и вкусВ духа на Коледа, този
аромат обединява нотки на канела, карамфил и кардамон, шоколад и портокал за да
пасне на класическия вкус на зимния сладкиш.Състав: Печено кафе
(100% арабика), овкусител.Опаковка: насипно кафе.













*Ако желаете Вашето кафе
смляно, моля свържете се с нас!",,,0,,КАФЕ КОЛЕДНА БИСКВИТКА 100% АРАБИКА,,"https://teashop.bg/image/cache/catalog/13722-600x600.jpg, https://teashop.bg/image/cache/catalog/13722--600x600.jpg"
РОЙБОС БРЮЛЕ С ПОДПРАВКИ,simple,Код на продукта: КОД 21/393,1,visible,,"Джинджифиловият
човек може просто да се разтопи в любимия чай. Крехките парчета карамел,
зърната розов пипер, както и кристалите захар образуват празнична смес с
прекрасен аромат и вкус. Кремообразни нотки на ванилия, комбинирани с вкус на
печен карамел и аромати на до 30 „тайни“ подправки от изтока създават много
специално вкусово изживяване, което съчетава сладост и пикантност. Със своята
коледна картичка джинджифиловото човече ви изпраща пикантни, весели и сладки
коледни поздрави.Състав: чай
Ройбос, парченца ябълка, парченца крем-карамел, канела, захарно джинджифилово
човече, зърна розов пипер.





Опаковка: насипен
чай.",,,0,,РОЙБОС БРЮЛЕ С ПОДПРАВКИ,,https://teashop.bg/image/cache/catalog/21393-600x600.jpg
РОЙБОС БИСКВИТКА,simple,Код на продукта: КОД 22/751,1,visible,,"Пищно декориран и
привлекателен чай ви изкушава с вкуса на цветни аромати като пресни
джинджифилови бисквити и сладки портокали. Екзотични съставки като черен пипер
и кориандър добавят допълнителна нотка финес. Този чай разгромява всички
критики и е един от нашите най-продавани сортове.Състав: Чай
Ройбос, филирани бадеми, шамфъстък, портокалови кори, кориандър, зърна розов
пипер.



Опаковака: насипен
чай",,,0,,РОЙБОС БИСКВИТКА,,https://teashop.bg/image/cache/catalog/22751-600x600.jpg
ЧЕРЕН ЧАЙ БИСКВИТКА,simple,Код на продукта: КОД 21/630,1,visible,,"Бисквитките
и млякото за Дядо Коледа са нещо като традиция, но в студена зимна нощ той ще
бъде по-доволен от нещо, което да го стопли. 
За щастие има чай, който ще помогне на Дядо Коледа да оцелее дори и при
най-дългото пътуване с шейна със своя коледен, бисквитен вкус и леки пикантни
нотки. Освен това има страхотен вкус с чаша мляко.Състав: черен
чай, карамфил, канела, джинджифил, кардамом 





Опаковка- насипен
чай",,,0,,ЧЕРЕН ЧАЙ БИСКВИТКА,,https://teashop.bg/image/cache/catalog/21630-600x600.jpg
ЗЕЛЕН ЧАЙ ДЖИНДЖИФИЛ,simple,Код на продукта: КОД 22/268,1,visible,,"Зелен чай от
Китай и Цейлон! Поради голямото търсене от цял свят, което установихме, сме
включили това необичайно, но убедително творение в нашата гама. Доминиращата
пикантност и неподправената изисканост, с които леката Банча допринася, прави
това съчетание от аромати  за всеки ден. Освен интензивния, леко остър
букет от аромати, корените на джинджифил също играят своята роля в тази смес.
Изчистен, опростен, специален - това е, на което ухае чаят от джинджифил.Състав: зелен чай
(90%), парчета джинджифил, зърна черен пипер, есенции (ароматни вещества).



Опаковка: насипен
чай.",,,0,,ЗЕЛЕН ЧАЙ ДЖИНДЖИФИЛ,,https://teashop.bg/image/cache/catalog/22268-600x600.gif
ЗЕЛЕН ЧАЙ ПЕЧЕНА ЯБЪЛКА,simple,Код на продукта: КОД  21/452,1,visible,,"Насладете се на
студените зимни вечери с вкуса на този празничен деликатес. Комбинация от зимни
подправки и печена ябълка ще се  разгърнат перфектно в основата от зелен
чай Сенча. Сладките листа от къпина и парченцата канела придават на тази смес
специалния, сладък и пикантен вкус.Състав: зелен чай
Сенча, касис, ябълка, канела, парченца бадем, листа къпина.







Опаковка: насипен
чай.",,,0,,ЗЕЛЕН ЧАЙ ПЕЧЕНА ЯБЪЛКА,,https://teashop.bg/image/cache/catalog/21452-600x600.jpg
